"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 07:20:38 PKT 2024","Wed Sep 11 07:20:46 PKT 2024","8300","chromium","parallelexecution.spec.js","","","","@web popup validation",""
"passed","Wed Sep 11 07:20:25 PKT 2024","Wed Sep 11 07:20:37 PKT 2024","12159","chromium","parallelexecution.spec.js","","","","@web Visual Testing",""
